age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,predclass
24.0,Private,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0,1408,50.0,United-States,<=50K
28.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,7298,0,42.0,United-States,>50K
36.0,Private,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35.0,United-States,<=50K
47.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,>50K
42.0,Private,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,2407,0,40.0,United-States,<=50K
19.0,Private,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24.0,United-States,<=50K
61.0,Private,Prof-school,15.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,5.0,United-States,>50K
20.0,Private,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Male,0,0,40.0,United-States,<=50K
43.0,Local-gov,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38.0,United-States,<=50K
36.0,Private,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,70.0,South,<=50K
41.0,Private,11th,7.0,Widowed,Other-service,Unmarried,White,Female,0,0,40.0,United-States,<=50K
65.0,Private,HS-grad,9.0,Divorced,Other-service,Other-relative,White,Female,0,0,14.0,United-States,<=50K
26.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
36.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40.0,United-States,<=50K
39.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43.0,United-States,<=50K
46.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40.0,Cambodia,>50K
46.0,Private,HS-grad,9.0,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
27.0,Private,Bachelors,13.0,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
39.0,Private,Masters,14.0,Divorced,Prof-specialty,Own-child,White,Female,1506,0,40.0,United-States,<=50K
48.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,2885,0,15.0,United-States,<=50K
23.0,Private,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20.0,United-States,<=50K
35.0,Private,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,>50K
23.0,State-gov,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0,0,27.0,United-States,<=50K
56.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,60.0,United-States,>50K
54.0,Private,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55.0,United-States,>50K
35.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60.0,United-States,<=50K
54.0,Federal-gov,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
24.0,Private,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0,0,40.0,United-States,<=50K
24.0,State-gov,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
33.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0,0,40.0,United-States,<=50K
51.0,Private,Assoc-voc,11.0,Divorced,Tech-support,Unmarried,Black,Female,0,0,48.0,United-States,<=50K
41.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0,1741,40.0,United-States,<=50K
51.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35.0,United-States,>50K
36.0,Self-emp-not-inc,Some-college,10.0,Divorced,Sales,Unmarried,White,Female,0,0,35.0,United-States,<=50K
