year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2011.0,3.0,25.0,14.0,15.0,-14.0,15.0,1026.0,NW,9.83,0.0,0
2012.0,9.0,30.0,8.0,12.0,8.0,15.0,1020.0,NW,14.31,0.0,0
2011.0,2.0,15.0,2.0,154.0,-14.0,-10.0,1029.0,NE,1.79,0.0,0
2014.0,10.0,12.0,8.0,4.0,-2.0,15.0,1032.0,NW,20.12,0.0,0
2012.0,8.0,10.0,4.0,72.0,23.0,23.0,1007.0,cv,1.78,0.0,0
2011.0,4.0,18.0,9.0,3.0,-11.0,15.0,1018.0,NW,22.8,0.0,0
2013.0,2.0,3.0,15.0,223.0,-2.0,-2.0,1017.0,NE,1.79,10.0,0
2012.0,8.0,4.0,0.0,28.0,22.0,24.0,1007.0,SE,35.32,0.0,0
2010.0,8.0,10.0,20.0,160.0,21.0,27.0,1006.0,SE,26.38,0.0,0
2013.0,2.0,25.0,15.0,143.0,-2.0,-1.0,1026.0,NW,3.13,0.0,0
2010.0,8.0,21.0,18.0,12.0,19.0,21.0,1011.0,NW,4.92,0.0,14
2013.0,6.0,11.0,10.0,70.0,16.0,22.0,1009.0,SE,3.13,0.0,0
2010.0,11.0,25.0,15.0,54.0,-14.0,7.0,1022.0,SE,12.07,0.0,0
2010.0,11.0,5.0,14.0,58.0,0.0,21.0,1018.0,SE,4.92,0.0,0
2012.0,3.0,6.0,21.0,42.0,-15.0,7.0,1018.0,NW,177.93,0.0,0
2010.0,5.0,3.0,18.0,142.0,6.0,22.0,1006.0,NE,1.79,0.0,0
2013.0,11.0,21.0,15.0,43.0,-12.0,12.0,1024.0,cv,0.89,0.0,0
2011.0,10.0,19.0,2.0,154.0,8.0,9.0,1023.0,cv,1.34,0.0,0
2011.0,3.0,21.0,22.0,23.0,-24.0,4.0,1031.0,NW,142.59,0.0,0
2014.0,12.0,9.0,18.0,352.0,-6.0,-1.0,1031.0,NW,1.79,0.0,0
2011.0,6.0,6.0,19.0,114.0,18.0,26.0,998.0,cv,0.89,0.0,0
2014.0,3.0,29.0,18.0,26.0,-1.0,20.0,1011.0,SE,1.79,0.0,0
2010.0,12.0,19.0,12.0,40.0,-12.0,9.0,1016.0,NW,50.51,0.0,0
2012.0,1.0,11.0,1.0,14.0,-18.0,-7.0,1041.0,NE,10.28,0.0,0
2012.0,11.0,25.0,13.0,20.0,-14.0,7.0,1019.0,NW,27.72,0.0,0
2012.0,1.0,2.0,14.0,12.0,-17.0,2.0,1026.0,NW,17.88,0.0,0
2011.0,11.0,2.0,17.0,55.0,3.0,13.0,1027.0,NW,3.58,0.0,0
2012.0,9.0,6.0,7.0,72.0,14.0,16.0,1018.0,cv,0.45,0.0,0
2013.0,7.0,4.0,9.0,21.0,19.0,29.0,994.0,NW,25.03,0.0,0
2014.0,4.0,28.0,9.0,106.0,8.0,20.0,1021.0,NW,15.19,0.0,0
2013.0,7.0,31.0,2.0,19.0,19.0,22.0,999.0,NE,4.02,0.0,4
2010.0,12.0,16.0,22.0,98.0,-16.0,-5.0,1012.0,cv,1.78,0.0,0
2010.0,11.0,9.0,13.0,75.0,-8.0,8.0,1019.0,SE,3.58,0.0,0
2014.0,12.0,3.0,1.0,126.0,-17.0,-8.0,1025.0,NW,8.05,0.0,0
2012.0,1.0,14.0,3.0,125.0,-13.0,-6.0,1026.0,cv,0.89,0.0,0
2013.0,5.0,1.0,4.0,59.0,2.0,8.0,1018.0,NE,0.89,0.0,0
2014.0,1.0,25.0,23.0,59.0,-7.0,-1.0,1034.0,SE,10.28,0.0,0
2014.0,2.0,22.0,22.0,327.0,-3.0,3.0,1031.0,SE,8.94,0.0,0
2013.0,2.0,14.0,22.0,237.0,-17.0,0.0,1030.0,NW,4.02,0.0,0
2013.0,9.0,5.0,21.0,57.0,14.0,19.0,1016.0,SE,28.17,0.0,0
2010.0,9.0,1.0,23.0,81.0,18.0,21.0,1015.0,cv,1.78,0.0,0
2013.0,5.0,24.0,20.0,47.0,12.0,23.0,1012.0,NW,4.02,0.0,0
2010.0,6.0,3.0,4.0,133.0,13.0,16.0,1018.0,SE,8.04,0.0,0
2014.0,1.0,3.0,9.0,36.0,-13.0,4.0,1024.0,NW,11.17,0.0,0
2012.0,12.0,15.0,6.0,222.0,0.0,1.0,1022.0,SE,3.58,0.0,0
2012.0,10.0,29.0,12.0,67.0,5.0,14.0,1022.0,cv,0.89,0.0,0
2014.0,4.0,1.0,23.0,80.0,3.0,15.0,1010.0,NE,0.89,0.0,0
2013.0,8.0,6.0,23.0,177.0,26.0,30.0,1000.0,SE,3.13,0.0,0
2012.0,5.0,23.0,12.0,12.0,-3.0,26.0,1012.0,cv,4.02,0.0,0
2013.0,2.0,27.0,0.0,415.0,-4.0,-2.0,1019.0,NE,0.89,0.0,0
2012.0,8.0,18.0,5.0,153.0,22.0,23.0,1007.0,SE,67.95,0.0,0
2011.0,9.0,7.0,12.0,287.0,21.0,26.0,1005.0,SE,4.92,0.0,0
2010.0,3.0,9.0,22.0,27.0,-13.0,-5.0,1029.0,cv,1.78,0.0,0
2010.0,2.0,3.0,5.0,94.0,-17.0,-13.0,1030.0,NW,1.79,0.0,0
2013.0,10.0,21.0,11.0,115.0,2.0,15.0,1024.0,cv,4.9,0.0,0
2013.0,8.0,5.0,6.0,50.0,18.0,20.0,998.0,NW,4.47,0.0,0
2011.0,12.0,3.0,14.0,32.0,-11.0,6.0,1025.0,NW,1.79,0.0,0
2013.0,8.0,7.0,6.0,43.0,21.0,24.0,1002.0,cv,0.89,0.0,0
2012.0,8.0,25.0,23.0,114.0,19.0,22.0,1011.0,SE,27.71,0.0,0
2012.0,3.0,31.0,12.0,21.0,-17.0,11.0,1020.0,SE,4.02,0.0,0
2011.0,12.0,6.0,12.0,209.0,1.0,2.0,1031.0,NW,3.13,0.0,0
2010.0,2.0,3.0,17.0,34.0,-21.0,1.0,1026.0,NW,54.08,0.0,0
2013.0,7.0,27.0,2.0,76.0,21.0,25.0,1002.0,SE,3.13,0.0,1
2012.0,5.0,18.0,19.0,130.0,13.0,30.0,1005.0,NW,4.92,0.0,0
2010.0,3.0,25.0,14.0,16.0,-19.0,8.0,1025.0,NW,4.02,0.0,0
2012.0,11.0,28.0,12.0,10.0,-18.0,4.0,1023.0,NW,139.03,0.0,0
2014.0,4.0,25.0,11.0,167.0,11.0,23.0,1018.0,cv,2.68,0.0,0
2014.0,12.0,28.0,23.0,341.0,-10.0,-2.0,1017.0,cv,3.12,0.0,0
2013.0,10.0,13.0,0.0,96.0,10.0,16.0,1018.0,NW,3.58,0.0,2
2011.0,4.0,5.0,14.0,227.0,-7.0,18.0,1022.0,SE,38.45,0.0,0
2012.0,4.0,14.0,14.0,29.0,-6.0,30.0,1004.0,SE,20.11,0.0,0
2014.0,11.0,24.0,1.0,289.0,-1.0,-1.0,1027.0,NW,6.71,0.0,0
2010.0,4.0,5.0,0.0,199.0,2.0,12.0,1010.0,SE,31.74,0.0,0
2011.0,5.0,28.0,2.0,177.0,17.0,19.0,1009.0,SE,46.48,0.0,0
2011.0,7.0,19.0,16.0,73.0,22.0,28.0,1001.0,SE,4.92,0.0,0
2013.0,7.0,27.0,11.0,88.0,22.0,24.0,1000.0,NW,1.79,0.0,5
2014.0,4.0,16.0,8.0,44.0,2.0,15.0,1016.0,SE,0.89,0.0,0
2013.0,4.0,13.0,16.0,16.0,-2.0,25.0,1003.0,NW,38.0,0.0,0
2014.0,1.0,3.0,11.0,23.0,-16.0,8.0,1024.0,NW,17.43,0.0,0
2014.0,8.0,1.0,3.0,135.0,22.0,25.0,1006.0,cv,0.89,0.0,0
2013.0,9.0,15.0,2.0,20.0,7.0,15.0,1012.0,NW,15.2,0.0,0
2012.0,1.0,6.0,9.0,194.0,-11.0,-7.0,1039.0,SE,1.79,0.0,0
2013.0,1.0,8.0,8.0,159.0,-13.0,-10.0,1032.0,NE,1.79,0.0,0
2012.0,9.0,29.0,12.0,5.0,-2.0,23.0,1019.0,NW,11.17,0.0,0
2010.0,1.0,16.0,19.0,197.0,-12.0,-7.0,1032.0,cv,1.78,0.0,0
2011.0,2.0,22.0,1.0,489.0,-5.0,-3.0,1024.0,cv,0.89,0.0,0
2010.0,10.0,27.0,7.0,88.0,-3.0,-1.0,1032.0,cv,0.9,0.0,0
2014.0,4.0,8.0,23.0,138.0,4.0,18.0,1011.0,SE,38.0,0.0,0
2014.0,12.0,4.0,15.0,10.0,-24.0,2.0,1026.0,NW,64.37,0.0,0
2010.0,9.0,2.0,1.0,81.0,18.0,21.0,1014.0,cv,0.89,0.0,0
2014.0,11.0,4.0,21.0,208.0,3.0,5.0,1015.0,cv,0.89,0.0,0
2011.0,6.0,13.0,3.0,85.0,17.0,20.0,1007.0,cv,1.78,0.0,0
2012.0,10.0,22.0,18.0,15.0,-2.0,14.0,1019.0,NW,85.4,0.0,0
2011.0,11.0,22.0,21.0,7.0,-15.0,2.0,1028.0,NW,113.54,0.0,0
2013.0,1.0,1.0,3.0,21.0,-14.0,-10.0,1018.0,NW,14.75,0.0,0
2012.0,1.0,21.0,7.0,10.0,-27.0,-11.0,1038.0,NE,175.66,0.0,0
2011.0,11.0,10.0,4.0,56.0,-3.0,0.0,1021.0,NW,8.05,0.0,0
2012.0,12.0,1.0,17.0,79.0,-8.0,-2.0,1027.0,SE,26.83,0.0,0
2012.0,6.0,17.0,14.0,127.0,12.0,37.0,1000.0,SE,10.73,0.0,0
2011.0,11.0,15.0,7.0,185.0,-5.0,-3.0,1028.0,NW,1.79,0.0,0
2013.0,4.0,19.0,4.0,63.0,-2.0,7.0,1025.0,SE,18.78,0.0,0
2010.0,7.0,10.0,18.0,88.0,20.0,23.0,1005.0,SE,8.05,0.0,0
2012.0,4.0,3.0,6.0,17.0,-13.0,3.0,1020.0,NE,0.89,0.0,0
2011.0,1.0,4.0,16.0,61.0,-16.0,2.0,1024.0,NW,13.86,0.0,0
2014.0,8.0,31.0,14.0,65.0,21.0,27.0,1012.0,SE,4.92,0.0,0
